[26-Aug-2024 16:41:06 UTC] PHP Warning:  The magic method Piquant\MikadofModules\Header\Lib\HeaderFactory::__wakeup() must have public visibility in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\header\lib\header-factory.php on line 39
[26-Aug-2024 16:41:06 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
[26-Aug-2024 16:41:07 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\jabbe\Local Sites\food\app\public\wp-includes\class-wp-recovery-mode-email-service.php on line 367
[26-Aug-2024 16:41:07 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\jabbe\Local Sites\food\app\public\wp-includes\class-wp-recovery-mode-email-service.php on line 368
[26-Aug-2024 16:41:07 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
[26-Aug-2024 16:41:12 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
[26-Aug-2024 16:41:13 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
[26-Aug-2024 16:41:16 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
[26-Aug-2024 16:41:16 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
[26-Aug-2024 16:41:35 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
[26-Aug-2024 16:41:41 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\framework\modules\shortcodes\imagegallery\image-gallery.php on line 318
